T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
604.0008736	96	3	1	0.8973842609	0.8901607568	98.07882524	1.029539639	0.8916351236	79.15275466	18.96903316	1.878212178	0	0	0	-877.1508736	0.8901607568	424.49786041152	
601.4408736	96	3	1	0.9030831675	0.8959503598	98.03342434	1.071885639	0.8946900184	78.49059495	19.60260214	1.906802909	0	0	0	-874.5908736	0.8959503598	461.761535268396	
598.8808736	96	3	1	0.9083215343	0.9012857574	97.98799777	1.114285752	0.8977164808	77.84908231	20.21704354	1.933874151	0	0	0	-872.0308736	0.9012857574	499.612850363115	
596.3208736	96	3	1	0.9131611941	0.9062282855	97.94250832	1.156776322	0.9007153582	77.22721752	20.81327617	1.959506303	0	0	0	-869.4708736	0.9062282855	537.952456515666	
593.7608736	96	3	1	0.9176526263	0.9108279364	97.89692091	1.199393033	0.9036860519	76.62401953	21.39220492	1.98377555	0	0	0	-866.9108736	0.9108279364	576.412506635229	
591.2008736	96	3	1	0.921841839	0.9151306057	97.85120246	1.242165161	0.9066323837	76.03854637	21.95468985	2.006763778	0	0	0	-864.3508736	0.9151306057	614.869471822674	
588.6408736	96	3	1	0.9257642281	0.9191713376	97.80532147	1.285124922	0.9095536078	75.46988699	22.50157183	2.028541174	0	0	0	-861.7908736	0.9191713376	653.303215556567	
586.0808736	96	3	1	0.9294511161	0.9229812614	97.75924795	1.328301428	0.9124506184	74.9171759	23.03364668	2.049177419	0	0	0	-859.2308736	0.9229812614	691.473647863403	
583.5208736	96	3	1	0.9329293217	0.9265870443	97.71295318	1.37172247	0.9153243467	74.37959268	23.55166882	2.068738502	0	0	0	-856.6708736	0.9265870443	729.2343160025	
580.9608736	96	3	1	0.9362219304	0.9300116556	97.66640955	1.415414693	0.9181757576	73.85636261	24.05635072	2.087286667	0	0	0	-854.1108736	0.9300116556	766.448290761669	
578.4008736	96	3	1	0.9393489174	0.9332749824	97.6195904	1.459403757	0.921005846	73.34675622	24.54836333	2.10488045	0	0	0	-851.5508736	0.9332749824	802.988276372109	
575.8408736	96	3	1	0.9423276526	0.9363943307	97.57246989	1.503714482	0.9238156318	72.85008803	25.02833719	2.121574784	0	0	0	-848.9908736	0.9363943307	838.736634896697	
573.2808736	96	3	1	0.9451733127	0.9393848334	97.52502286	1.548370986	0.9266061557	72.36571486	25.49686398	2.137421152	0	0	0	-846.4308736	0.9393848334	873.585397502543	
570.7208736	96	3	1	0.9478992193	0.9422597855	97.47722472	1.593396809	0.9293784746	71.89303383	25.95449841	2.152467756	0	0	0	-843.8708736	0.9422597855	907.436054631858	
568.1608736	96	3	1	0.9505171177	0.9450309208	97.42905132	1.638815027	0.9321336583	71.43148016	26.40176013	2.166759707	0	0	0	-841.3108736	0.9450309208	940.199421387198	
565.6008736	96	3	1	0.953037408	0.9477086408	97.38047886	1.684648357	0.9348727856	70.98052501	26.83913577	2.180339218	0	0	0	-838.7508736	0.9477086408	971.795157681488	
563.0408736	96	3	1	0.9554693385	0.9503022071	97.3314838	1.730919258	0.9375969434	70.53967286	27.26708133	2.19324581	0	0	0	-836.1908736	0.9503022071	1002.15177225396	
560.4808736	96	3	1	0.9578211656	0.9528198995	97.28204276	1.777650016	0.9403072231	70.10845991	27.68602361	2.20551648	0	0	0	-833.6308736	0.9528198995	1031.20612846071	
557.9208736	96	3	1	0.9601002906	0.9552691525	97.23213245	1.824862834	0.9430047208	69.68645157	28.09636253	2.2171859	0	0	0	-831.0708736	0.9552691525	1058.90296620933	
555.3608736	96	3	1	0.9623133738	0.9576566681	97.18172956	1.872579908	0.9456905362	69.2732405	28.49847292	2.228286588	0	0	0	-828.5108736	0.9576566681	1085.19467405102	
552.8008736	96	3	1	0.9644664321	0.9599885132	97.13081072	1.920823505	0.9483657725	68.86844478	28.89270616	2.238849069	0	0	0	-825.9508736	0.9599885132	1110.04085432539	
550.2408736	96	3	1	0.9665649214	0.9622702014	97.07935243	1.969616031	0.9510315367	68.47170608	29.27939189	2.24890203	0	0	0	-823.3908736	0.9622702014	1133.40800868093	
547.6808736	96	3	1	0.9686138081	0.9645067639	97.02733096	2.018980102	0.9536889402	68.08268802	29.65883951	2.258472468	0	0	0	-820.8308736	0.9645067639	1155.26896225112	
545.1208736	96	3	1	0.9706176297	0.9667028104	96.97472229	2.068938608	0.9563391001	67.70107461	30.03133957	2.267585818	0	0	0	-818.2708736	0.9667028104	1175.60268453389	
542.5608736	96	3	1	0.9725805473	0.968862581	96.92150208	2.11951478	0.9589831403	67.32656883	30.39716509	2.276266084	0	0	0	-815.7108736	0.968862581	1194.39384253628	
540.0008736	96	3	1	0.9745063917	0.9709899921	96.86764556	2.170732246	0.961622193	66.95889128	30.75657277	2.284535951	0	0	0	-813.1508736	0.9709899921	1211.63238292674	
537.4408736	96	3	1	0.9763987022	0.9730886757	96.8131275	2.222615102	0.9642574009	66.59777897	31.10980414	2.292416892	0	0	0	-810.5908736	0.9730886757	1227.31323247505	
534.8808736	96	3	1	0.9782607621	0.9751620142	96.75792212	2.275187964	0.9668899191	66.24298421	31.45708652	2.299929272	0	0	0	-808.0308736	0.9751620142	1241.4359685241	
532.3208736	96	3	1	0.9800956283	0.9772131705	96.70200304	2.328476038	0.9695209172	65.89427352	31.79863404	2.307092437	0	0	0	-805.4708736	0.9772131705	1254.00448288916	
529.7608736	96	3	1	0.9819061583	0.979245115	96.64534324	2.382505173	0.9721515822	65.55142671	32.13464849	2.3139248	0	0	0	-802.9108736	0.979245115	1265.02656494407	
527.2008736	96	3	1	0.9836950339	0.9812606494	96.58791495	2.437301931	0.974783121	65.21423597	32.46532011	2.320443921	0	0	0	-800.3508736	0.9812606494	1274.51369847576	
524.6408736	96	3	1	0.9854647821	0.9832624277	96.52968959	2.492893643	0.9774167632	64.88250509	32.79082832	2.326666584	0	0	0	-797.7908736	0.9832624277	1282.48089216997	
522.0808736	96	3	1	0.9872177936	0.9852529748	96.47063775	2.549308482	0.9800537647	64.55604868	33.11134245	2.332608863	0	0	0	-795.2308736	0.9852529748	1288.94610644432	
519.5208736	96	3	1	0.9889563398	0.9872347043	96.41072907	2.606575521	0.9826954105	64.2346915	33.42702231	2.338286188	0	0	0	-792.6708736	0.9872347043	1293.93014767914	
516.9608736	96	3	1	0.9906825878	0.9892099331	96.34993217	2.664724809	0.9853430189	63.91826782	33.73801877	2.343713408	0	0	0	-790.1108736	0.9892099331	1297.4566054869	
514.4008736	96	3	1	0.9923986143	0.9911808956	96.28821462	2.723787439	0.9879979447	63.60662083	34.04447432	2.348904843	0	0	0	-787.5508736	0.9911808956	1299.55130812395	
511.8408736	96	3	1	0.9941064175	0.9931497567	96.2255428	2.78379562	0.9906615839	63.29960214	34.34652351	2.353874345	0	0	0	-784.9908736	0.9931497567	1300.2422691696	
509.2808736	96	3	1	0.995807929	0.9951186233	96.16188186	2.844782758	0.9933353775	62.99707125	34.64429341	2.358635345	0	0	0	-782.4308736	0.9951186233	1299.55949640462	
506.7208736	96	3	1	0.9975050244	0.9970895554	96.09719565	2.906783534	0.9960208168	62.69889511	34.93790399	2.3632009	0	0	0	-779.8708736	0.9970895554	1297.53477886281	
504.1608736	96	3	1	0.9991995325	0.9990645761	96.03144656	2.96983399	0.9987194479	62.40494772	35.22746853	2.367583745	0	0	0	-777.3108736	0.9990645761	1293.87488352571	
503.5208736	96	3	1	0.999623164	0.9995594361	96.01483927	2.985763976	0.9993967538	62.33210867	35.29923834	2.368652988	0	0	0	-776.6708736	0.9995594361	1292.12254245729	
503.2008736	96	3	1	0.9998351277	0.9998072032	96.00650995	2.993754036	0.9997360142	62.29578566	35.33503027	2.369184063	0	0	0	-776.3508736	0.9998072032	1292.05403663529	
503.0408736	96	3	1	0.9999410108	0.9999310122	96.00233844	2.997756058	0.999905505	62.2776473	35.35290442	2.369448281	0	0	0	-776.1908736	0.9999310122	1295.00197783478	
502.9608736	96	3	1	0.9999937791	0.9999927243	96.00025067	2.999759303	0.9999900263	62.26858333	35.36183691	2.369579769	0	0	0	-776.1108736	0.9999927243	2595.68694885386	
502.9408736	96	3	1	1	1	95.99999986	3.000000166	0.9999999736							-776.0908736	1	2902.06584466321	
